DATA;Ora;VALORE
2018-09-15;1;3921902
2018-09-15;2;3499318
2018-09-15;3;3273133
2018-09-15;4;3153635
2018-09-15;5;3112702
2018-09-15;6;3192048
2018-09-15;7;3435268
2018-09-15;8;3992455
2018-09-15;9;4594175
2018-09-15;10;4908519
2018-09-15;11;4814842
2018-09-15;12;4690929
2018-09-15;13;4415904
2018-09-15;14;4128190
2018-09-15;15;4147971
2018-09-15;16;4250279
2018-09-15;17;4497246
2018-09-15;18;4869815
2018-09-15;19;5417123
2018-09-15;20;6142245
2018-09-15;21;6007029
2018-09-15;22;5552137
2018-09-15;23;5007385
2018-09-15;24;4423755
2018-09-16;1;3845459
2018-09-16;2;3422680
2018-09-16;3;3170371
2018-09-16;4;3039316
2018-09-16;5;2987032
2018-09-16;6;3024061
2018-09-16;7;3106568
2018-09-16;8;3384400
2018-09-16;9;3756599
2018-09-16;10;4044806
2018-09-16;11;4109716
2018-09-16;12;4155755
2018-09-16;13;4046334
2018-09-16;14;3767459
2018-09-16;15;3792836
2018-09-16;16;3851468
2018-09-16;17;4007721
2018-09-16;18;4339414
2018-09-16;19;4902872
2018-09-16;20;5810027
2018-09-16;21;5889459
2018-09-16;22;5535695
2018-09-16;23;4902867
2018-09-16;24;4159570
2018-09-17;1;3534048
2018-09-17;2;3189832
2018-09-17;3;3028268
2018-09-17;4;2955100
2018-09-17;5;2946437
2018-09-17;6;3091436
2018-09-17;7;3610790
2018-09-17;8;4445241
2018-09-17;9;5115454
2018-09-17;10;5193108
2018-09-17;11;5076104
2018-09-17;12;5013838
2018-09-17;13;4663170
2018-09-17;14;4580239
2018-09-17;15;4870378
2018-09-17;16;5102627
2018-09-17;17;5365623
2018-09-17;18;5562574
2018-09-17;19;5891525
2018-09-17;20;6405777
2018-09-17;21;6298681
2018-09-17;22;5871301
2018-09-17;23;5060450
2018-09-17;24;4240027
2018-09-18;1;3609951
2018-09-18;2;3247504
2018-09-18;3;3072957
2018-09-18;4;3000126
2018-09-18;5;2990684
2018-09-18;6;3134717
2018-09-18;7;3672670
2018-09-18;8;4551556
2018-09-18;9;5252872
2018-09-18;10;5390280
2018-09-18;11;5274065
2018-09-18;12;5186788
2018-09-18;13;4758359
2018-09-18;14;4622798
2018-09-18;15;4882831
2018-09-18;16;5132346
2018-09-18;17;5433148
2018-09-18;18;5684353
2018-09-18;19;6039160
2018-09-18;20;6565152
2018-09-18;21;6379898
2018-09-18;22;5934861
2018-09-18;23;5135695
2018-09-18;24;4298389
2018-09-19;1;3646198
2018-09-19;2;3262888
2018-09-19;3;3080509
2018-09-19;4;3003915
2018-09-19;5;2994708
2018-09-19;6;3140521
2018-09-19;7;3674112
2018-09-19;8;4510743
2018-09-19;9;5153296
2018-09-19;10;5204028
2018-09-19;11;5013382
2018-09-19;12;4970535
2018-09-19;13;4605255
2018-09-19;14;4531498
2018-09-19;15;4797191
2018-09-19;16;5050886
2018-09-19;17;5370620
2018-09-19;18;5658504
2018-09-19;19;6049116
2018-09-19;20;6642144
2018-09-19;21;6467516
2018-09-19;22;5994311
2018-09-19;23;5202502
2018-09-19;24;4341862
2018-09-20;1;3649414
2018-09-20;2;3276718
2018-09-20;3;3099780
2018-09-20;4;3021810
2018-09-20;5;3010355
2018-09-20;6;3159989
2018-09-20;7;3706036
2018-09-20;8;4537466
2018-09-20;9;5139769
2018-09-20;10;5174315
2018-09-20;11;5019724
2018-09-20;12;4989723
2018-09-20;13;4647742
2018-09-20;14;4556631
2018-09-20;15;4834632
2018-09-20;16;5101473
2018-09-20;17;5424896
2018-09-20;18;5730518
2018-09-20;19;6117098
2018-09-20;20;6705978
2018-09-20;21;6493010
2018-09-20;22;6018479
2018-09-20;23;5204795
2018-09-20;24;4345341
2018-09-21;1;3684302
2018-09-21;2;3308104
2018-09-21;3;3123440
2018-09-21;4;3044149
2018-09-21;5;3032807
2018-09-21;6;3176531
2018-09-21;7;3708618
2018-09-21;8;4444895
2018-09-21;9;5173691
2018-09-21;10;5218789
2018-09-21;11;5066763
2018-09-21;12;5021330
2018-09-21;13;4696573
2018-09-21;14;4602178
2018-09-21;15;4884183
2018-09-21;16;5161589
2018-09-21;17;5517864
2018-09-21;18;5837515
2018-09-21;19;6226897
2018-09-21;20;6669599
2018-09-21;21;6447760
2018-09-21;22;5947744
2018-09-21;23;5222196
2018-09-21;24;4466778
2018-09-22;1;3825226
2018-09-22;2;3426021
2018-09-22;3;3209653
2018-09-22;4;3100300
2018-09-22;5;3071113
2018-09-22;6;3164164
2018-09-22;7;3470765
2018-09-22;8;3962904
2018-09-22;9;4625576
2018-09-22;10;4931654
2018-09-22;11;4834853
2018-09-22;12;4769400
2018-09-22;13;4571176
2018-09-22;14;4347835
2018-09-22;15;4415742
2018-09-22;16;4526454
2018-09-22;17;4747997
2018-09-22;18;5081652
2018-09-22;19;5583538
2018-09-22;20;6225338
2018-09-22;21;5995051
2018-09-22;22;5494878
2018-09-22;23;4935109
2018-09-22;24;4339994
2018-09-23;1;3750515
2018-09-23;2;3330397
2018-09-23;3;3089943
2018-09-23;4;2967469
2018-09-23;5;2920037
2018-09-23;6;2966103
2018-09-23;7;3098756
2018-09-23;8;3301141
2018-09-23;9;3808911
2018-09-23;10;4123839
2018-09-23;11;4164176
2018-09-23;12;4186186
2018-09-23;13;4042432
2018-09-23;14;3711836
2018-09-23;15;3702139
2018-09-23;16;3742026
2018-09-23;17;3913139
2018-09-23;18;4301133
2018-09-23;19;4942432
2018-09-23;20;5832244
2018-09-23;21;5842647
2018-09-23;22;5455966
2018-09-23;23;4831037
2018-09-23;24;4089051
2018-09-24;1;3483406
2018-09-24;2;3151147
2018-09-24;3;2999675
2018-09-24;4;2933783
2018-09-24;5;2935659
2018-09-24;6;3079284
2018-09-24;7;3640574
2018-09-24;8;4397271
2018-09-24;9;5151458
2018-09-24;10;5162732
2018-09-24;11;4905440
2018-09-24;12;4756595
2018-09-24;13;4384745
2018-09-24;14;4256803
2018-09-24;15;4480386
2018-09-24;16;4688058
2018-09-24;17;4965531
2018-09-24;18;5263702
2018-09-24;19;5692776
2018-09-24;20;6205985
2018-09-24;21;6027361
2018-09-24;22;5589141
2018-09-24;23;4796252
2018-09-24;24;3991119
2018-09-25;1;3381076
2018-09-25;2;3034942
2018-09-25;3;2872559
2018-09-25;4;2809746
2018-09-25;5;2805877
2018-09-25;6;2955899
2018-09-25;7;3525752
2018-09-25;8;4293200
2018-09-25;9;4971053
2018-09-25;10;4952438
2018-09-25;11;4698060
2018-09-25;12;4523710
2018-09-25;13;4075513
2018-09-25;14;3888986
2018-09-25;15;4091697
2018-09-25;16;4307617
2018-09-25;17;4601936
2018-09-25;18;4966260
2018-09-25;19;5507216
2018-09-25;20;6129783
2018-09-25;21;5966297
2018-09-25;22;5518701
2018-09-25;23;4739960
2018-09-25;24;3934223
2018-09-26;1;3304307
2018-09-26;2;2938254
2018-09-26;3;2777798
2018-09-26;4;2716916
2018-09-26;5;2724173
2018-09-26;6;2887028
2018-09-26;7;3485626
2018-09-26;8;4269131
2018-09-26;9;4913785
2018-09-26;10;4874230
2018-09-26;11;4590477
2018-09-26;12;4404888
2018-09-26;13;3915803
2018-09-26;14;3742412
2018-09-26;15;3959699
2018-09-26;16;4165006
2018-09-26;17;4484691
2018-09-26;18;4889213
2018-09-26;19;5490662
2018-09-26;20;6191420
2018-09-26;21;5972496
2018-09-26;22;5505676
2018-09-26;23;4709303
2018-09-26;24;3882573
2018-09-27;1;3233680
2018-09-27;2;2881132
2018-09-27;3;2723924
2018-09-27;4;2669446
2018-09-27;5;2674741
2018-09-27;6;2844180
2018-09-27;7;3462140
2018-09-27;8;4267129
2018-09-27;9;4892310
2018-09-27;10;4787233
2018-09-27;11;4498534
2018-09-27;12;4348911
2018-09-27;13;3919480
2018-09-27;14;3779207
2018-09-27;15;4018590
2018-09-27;16;4233222
2018-09-27;17;4548649
2018-09-27;18;4946991
2018-09-27;19;5533063
2018-09-27;20;6257892
2018-09-27;21;6012042
2018-09-27;22;5549047
2018-09-27;23;4736971
2018-09-27;24;3896304
2018-09-28;1;3253592
2018-09-28;2;2904442
2018-09-28;3;2739359
2018-09-28;4;2676592
2018-09-28;5;2681983
2018-09-28;6;2853357
2018-09-28;7;3480877
2018-09-28;8;4315246
2018-09-28;9;4950375
2018-09-28;10;4871206
2018-09-28;11;4592337
2018-09-28;12;4456633
2018-09-28;13;4039846
2018-09-28;14;3892059
2018-09-28;15;4135590
2018-09-28;16;4364598
2018-09-28;17;4673627
2018-09-28;18;5048712
2018-09-28;19;5632955
2018-09-28;20;6347017
2018-09-28;21;6014079
2018-09-28;22;5513344
2018-09-28;23;4782297
2018-09-28;24;4023823
2018-09-29;1;3399912
2018-09-29;2;3012417
2018-09-29;3;2812879
2018-09-29;4;2728008
2018-09-29;5;2715208
2018-09-29;6;2827156
2018-09-29;7;3190452
2018-09-29;8;3725061
2018-09-29;9;4334107
2018-09-29;10;4469620
2018-09-29;11;4243067
2018-09-29;12;4063797
2018-09-29;13;3833564
2018-09-29;14;3608142
2018-09-29;15;3659292
2018-09-29;16;3756539
2018-09-29;17;4008710
2018-09-29;18;4465065
2018-09-29;19;5151626
2018-09-29;20;6082239
2018-09-29;21;5677848
2018-09-29;22;5170952
2018-09-29;23;4598443
2018-09-29;24;4008234
2018-09-30;1;3433254
2018-09-30;2;3012105
2018-09-30;3;2787537
2018-09-30;4;2678142
2018-09-30;5;2643158
2018-09-30;6;2701631
2018-09-30;7;2872990
2018-09-30;8;3163243
2018-09-30;9;3671944
2018-09-30;10;4032814
2018-09-30;11;4069301
2018-09-30;12;3980896
2018-09-30;13;3703435
2018-09-30;14;3285691
2018-09-30;15;3265421
2018-09-30;16;3297085
2018-09-30;17;3476482
2018-09-30;18;3928060
2018-09-30;19;4695829
2018-09-30;20;5797860
2018-09-30;21;5544320
2018-09-30;22;5138420
2018-09-30;23;4463338
2018-09-30;24;3723118
2018-10-01;1;3041447
2018-10-01;2;2725752
2018-10-01;3;2586541
2018-10-01;4;2538826
2018-10-01;5;2551455
2018-10-01;6;2721944
2018-10-01;7;3374261
2018-10-01;8;4245416
2018-10-01;9;4885926
2018-10-01;10;5030712
2018-10-01;11;5080315
2018-10-01;12;5197530
2018-10-01;13;4912606
2018-10-01;14;4916246
2018-10-01;15;5214408
2018-10-01;16;5385665
2018-10-01;17;5544185
2018-10-01;18;5675298
2018-10-01;19;6075105
2018-10-01;20;6369999
2018-10-01;21;6034002
2018-10-01;22;5531516
2018-10-01;23;4659959
2018-10-01;24;3794919
2018-10-02;1;3019915
2018-10-02;2;2658769
2018-10-02;3;2486663
2018-10-02;4;2434666
2018-10-02;5;2449624
2018-10-02;6;2630053
2018-10-02;7;3331104
2018-10-02;8;4220962
2018-10-02;9;5030470
2018-10-02;10;4966836
2018-10-02;11;4595164
2018-10-02;12;4382773
2018-10-02;13;3945763
2018-10-02;14;3818551
2018-10-02;15;3969949
2018-10-02;16;4131394
2018-10-02;17;4389479
2018-10-02;18;4777227
2018-10-02;19;5452300
2018-10-02;20;6139255
2018-10-02;21;5924120
2018-10-02;22;5439033
2018-10-02;23;4569796
2018-10-02;24;3741188
2018-10-03;1;3206532
2018-10-03;2;2815901
2018-10-03;3;2646213
2018-10-03;4;2586236
2018-10-03;5;2598225
2018-10-03;6;2786346
2018-10-03;7;3505026
2018-10-03;8;4426049
2018-10-03;9;4888810
2018-10-03;10;4751334
2018-10-03;11;4418379
2018-10-03;12;4257327
2018-10-03;13;3809764
2018-10-03;14;3660262
2018-10-03;15;3882078
2018-10-03;16;4087707
2018-10-03;17;4396467
2018-10-03;18;4816712
2018-10-03;19;5523381
2018-10-03;20;6425870
2018-10-03;21;6195289
2018-10-03;22;5696586
2018-10-03;23;4813742
2018-10-03;24;3895986
2018-10-04;1;3186850
2018-10-04;2;2818629
2018-10-04;3;2652277
2018-10-04;4;2593176
2018-10-04;5;2605798
2018-10-04;6;2796831
2018-10-04;7;3518148
2018-10-04;8;4438854
2018-10-04;9;4892854
2018-10-04;10;4771028
2018-10-04;11;4450192
2018-10-04;12;4290151
2018-10-04;13;3832480
2018-10-04;14;3666053
2018-10-04;15;3885938
2018-10-04;16;4104841
2018-10-04;17;4416284
2018-10-04;18;4835744
2018-10-04;19;5552061
2018-10-04;20;6434450
2018-10-04;21;6162306
2018-10-04;22;5659184
2018-10-04;23;4788818
2018-10-04;24;3894075
2018-10-05;1;3217217
2018-10-05;2;2838912
2018-10-05;3;2669557
2018-10-05;4;2608525
2018-10-05;5;2620664
2018-10-05;6;2809353
2018-10-05;7;3523304
2018-10-05;8;4464523
2018-10-05;9;4932152
2018-10-05;10;4815817
2018-10-05;11;4497718
2018-10-05;12;4334983
2018-10-05;13;3923091
2018-10-05;14;3819008
2018-10-05;15;4154512
2018-10-05;16;4407172
2018-10-05;17;4729853
2018-10-05;18;5087021
2018-10-05;19;5819413
2018-10-05;20;6529217
2018-10-05;21;6104352
2018-10-05;22;5583183
2018-10-05;23;4798349
2018-10-05;24;3979383
2018-10-06;1;3327041
2018-10-06;2;2935311
2018-10-06;3;2736044
2018-10-06;4;2647449
2018-10-06;5;2637004
2018-10-06;6;2757219
2018-10-06;7;3157547
2018-10-06;8;3877505
2018-10-06;9;4661924
2018-10-06;10;5092348
2018-10-06;11;5167794
2018-10-06;12;5228518
2018-10-06;13;5111411
2018-10-06;14;4842552
2018-10-06;15;4793237
2018-10-06;16;4753132
2018-10-06;17;4834384
2018-10-06;18;5104635
2018-10-06;19;5808266
2018-10-06;20;6380043
2018-10-06;21;5847175
2018-10-06;22;5286641
2018-10-06;23;4657231
2018-10-06;24;3997884
2018-10-07;1;3390750
2018-10-07;2;2947590
2018-10-07;3;2707639
2018-10-07;4;2587010
2018-10-07;5;2550847
2018-10-07;6;2613029
2018-10-07;7;2827628
2018-10-07;8;3159827
2018-10-07;9;3775559
2018-10-07;10;4199507
2018-10-07;11;4257856
2018-10-07;12;4237947
2018-10-07;13;4011189
2018-10-07;14;3567026
2018-10-07;15;3494544
2018-10-07;16;3491758
2018-10-07;17;3625713
2018-10-07;18;4041133
2018-10-07;19;4923741
2018-10-07;20;5876192
2018-10-07;21;5649098
2018-10-07;22;5211484
2018-10-07;23;4486729
2018-10-07;24;3693633
2018-10-08;1;3082781
2018-10-08;2;2738147
2018-10-08;3;2589464
2018-10-08;4;2534776
2018-10-08;5;2547133
2018-10-08;6;2731878
2018-10-08;7;3457712
2018-10-08;8;4503302
2018-10-08;9;5036995
2018-10-08;10;5029001
2018-10-08;11;4754439
2018-10-08;12;4551518
2018-10-08;13;4062495
2018-10-08;14;3934260
2018-10-08;15;4158881
2018-10-08;16;4367839
2018-10-08;17;4638952
2018-10-08;18;4969083
2018-10-08;19;5705096
2018-10-08;20;6470183
2018-10-08;21;6113678
2018-10-08;22;5611587
2018-10-08;23;4750860
2018-10-08;24;3868320
2018-10-09;1;3216349
2018-10-09;2;2846019
2018-10-09;3;2678345
2018-10-09;4;2617718
2018-10-09;5;2626729
2018-10-09;6;2804702
2018-10-09;7;3524429
2018-10-09;8;4539566
2018-10-09;9;5004120
2018-10-09;10;4945706
2018-10-09;11;4639749
2018-10-09;12;4478729
2018-10-09;13;4039610
2018-10-09;14;3913298
2018-10-09;15;4155871
2018-10-09;16;4390169
2018-10-09;17;4675643
2018-10-09;18;5021915
2018-10-09;19;5788182
2018-10-09;20;6536038
2018-10-09;21;6128005
2018-10-09;22;5614388
2018-10-09;23;4759447
2018-10-09;24;3898397
2018-10-10;1;3252547
2018-10-10;2;2857398
2018-10-10;3;2684361
2018-10-10;4;2624205
2018-10-10;5;2632315
2018-10-10;6;2813316
2018-10-10;7;3534732
2018-10-10;8;4560291
2018-10-10;9;5014869
2018-10-10;10;4966896
2018-10-10;11;4708423
2018-10-10;12;4608504
2018-10-10;13;4187943
2018-10-10;14;4062905
2018-10-10;15;4308702
2018-10-10;16;4526231
2018-10-10;17;4806135
2018-10-10;18;5191003
2018-10-10;19;6035761
2018-10-10;20;6578190
2018-10-10;21;6110526
2018-10-10;22;5613489
2018-10-10;23;4758444
2018-10-10;24;3878644
2018-10-11;1;3219978
2018-10-11;2;2859522
2018-10-11;3;2691808
2018-10-11;4;2631175
2018-10-11;5;2642635
2018-10-11;6;2825720
2018-10-11;7;3528503
2018-10-11;8;4507393
2018-10-11;9;5218368
2018-10-11;10;5349246
2018-10-11;11;5248659
2018-10-11;12;5285278
2018-10-11;13;4900095
2018-10-11;14;4734793
2018-10-11;15;4969031
2018-10-11;16;5146845
2018-10-11;17;5372939
2018-10-11;18;5631456
2018-10-11;19;6250138
2018-10-11;20;6597333
2018-10-11;21;6160976
2018-10-11;22;5639755
2018-10-11;23;4774793
2018-10-11;24;3901033
2018-10-12;1;3240927
2018-10-12;2;2862304
2018-10-12;3;2689612
2018-10-12;4;2626523
2018-10-12;5;2639810
2018-10-12;6;2825293
2018-10-12;7;3542604
2018-10-12;8;4530420
2018-10-12;9;5202633
2018-10-12;10;5201962
2018-10-12;11;4907831
2018-10-12;12;4681165
2018-10-12;13;4161903
2018-10-12;14;3936384
2018-10-12;15;4147227
2018-10-12;16;4354738
2018-10-12;17;4661241
2018-10-12;18;5049573
2018-10-12;19;5820272
2018-10-12;20;6512117
2018-10-12;21;6068436
2018-10-12;22;5548344
2018-10-12;23;4790866
2018-10-12;24;4016566
2018-10-13;1;3362458
2018-10-13;2;2950469
2018-10-13;3;2744529
2018-10-13;4;2649390
2018-10-13;5;2632224
2018-10-13;6;2747863
2018-10-13;7;3152464
2018-10-13;8;3713408
2018-10-13;9;4474080
2018-10-13;10;4662073
2018-10-13;11;4417628
2018-10-13;12;4208506
2018-10-13;13;3946244
2018-10-13;14;3672507
2018-10-13;15;3733114
2018-10-13;16;3826487
2018-10-13;17;4080187
2018-10-13;18;4536836
2018-10-13;19;5408875
2018-10-13;20;6140393
2018-10-13;21;5658517
2018-10-13;22;5132796
2018-10-13;23;4544290
2018-10-13;24;3935038
2018-10-14;1;3368052
2018-10-14;2;2927411
2018-10-14;3;2685036
2018-10-14;4;2568837
2018-10-14;5;2532314
2018-10-14;6;2598645
2018-10-14;7;2809009
2018-10-14;8;3051624
2018-10-14;9;3646572
2018-10-14;10;3953234
2018-10-14;11;3921611
2018-10-14;12;3872184
2018-10-14;13;3680603
2018-10-14;14;3311842
2018-10-14;15;3322188
2018-10-14;16;3379558
2018-10-14;17;3565385
2018-10-14;18;4002117
2018-10-14;19;4946433
2018-10-14;20;5742105
2018-10-14;21;5526764
2018-10-14;22;5115000
2018-10-14;23;4410497
2018-10-14;24;3642845
2018-10-15;1;3034674
2018-10-15;2;2697506
2018-10-15;3;2551435
2018-10-15;4;2501637
2018-10-15;5;2519949
2018-10-15;6;2699860
2018-10-15;7;3422306
2018-10-15;8;4415280
2018-10-15;9;5057885
2018-10-15;10;5101095
2018-10-15;11;4911130
2018-10-15;12;4842348
2018-10-15;13;4419288
2018-10-15;14;4279460
2018-10-15;15;4511168
2018-10-15;16;4684750
2018-10-15;17;4922649
2018-10-15;18;5187623
